id,title,description,priority,risk_reduction_percent,cost_level,implementation_time,sms_pillar,regulatory_refs,shap_contribution,trigger_value,trigger_threshold,action_steps,kpis
MAINTENANCE_OVERDUE_0,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_1,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_2,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_3,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_4,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_5,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_6,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_8,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
MAINTENANCE_OVERDUE_9,CRITICAL: Maintenance Action Overdue,Aircraft has overdue maintenance items. Ground aircraft until resolved.,CRITICAL,50.0,$$$$,Immediate,Safety Assurance,"['14 CFR 43.3', '14 CFR 91.409']",0.0,1.0,0.0,"['Ground aircraft immediately', 'Review overdue items with maintenance', 'Complete required maintenance', 'Document MEL/CDL items']","['Maintenance completion rate', 'AOG hours']"
CREW_FATIGUE_MODERATE_0,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,72.9,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_1,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,63.2,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_3,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,72.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_4,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.0,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_6,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,62.3,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_7,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,66.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_8,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.6,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
CREW_FATIGUE_MODERATE_9,Crew Fatigue Management Actions,Elevated crew fatigue detected. Implement fatigue countermeasures.,HIGH,20.0,$,Before flight,Safety Risk Management,['14 CFR 117'],0.0,68.0,0.0,"['Brief crew on fatigue countermeasures', 'Schedule controlled rest if applicable', 'Reduce workload where possible', 'Monitor crew performance']",['Fatigue report submission rate']
EXCESSIVE_DUTY_0,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_1,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,13.2,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_2,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,12.2,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_3,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_4,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_5,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,12.6,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_6,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_7,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_8,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
EXCESSIVE_DUTY_9,Flight Duty Period Limit Approaching,Crew approaching or exceeding FDP limits. Plan for extension or relief.,HIGH,30.0,$$,1-2 hours,Safety Policy & Objectives,"['14 CFR 117.17', '14 CFR 117.19']",0.0,14.0,0.0,"['Calculate remaining FDP', 'Assess need for extension', 'Pre-position relief crew if needed', 'Document FDP extension justification']","['FDP extension rate', 'Max FDP utilization']"
